Level1,Level2,Level3,Level4,Level5,Count
MUREXFO,FO,FOD EUROPE,Contract Id,7378297,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378299,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378301,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378303,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378305,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378307,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378309,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378311,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378313,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378315,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378317,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378319,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378321,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378323,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378325,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378327,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378329,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378331,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378333,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378335,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378337,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378339,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378341,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378343,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378345,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378347,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378349,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378351,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378353,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378355,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378357,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378359,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378361,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378363,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378365,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378367,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378369,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378371,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378373,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378375,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378377,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378379,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378381,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378383,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378385,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378387,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378389,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378391,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378393,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378395,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378397,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378399,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378401,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378403,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378405,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378407,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378409,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378411,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378413,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378415,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378417,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378419,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378421,1
MUREXFO,FO,FOD EUROPE,Contract Id,7378423,1
